ตลาดส่งออก 5000 อันดับแรกของไทยรายสินค้า,,,,,,,,,,,,
ทุกสินค้า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราขยายตัว (%),,,,สัดส่วน (%),,,
ประเทศ,2562,2563,2563,2564,2562,2563,2563,2564,2562,2563,2563,2564
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
  -  ไนเจอร์,428.49,409.16,409.16,"1,607.19",-39.92,-4.51,-4.51,292.80,0.01,0.01,0.01,0.02
  -  คาซัคสถาน,"2,260.69",929.67,929.67,"1,570.39",34.54,-58.88,-58.88,68.92,0.03,0.01,0.01,0.02
  -  นิวแคลีโดเนีย,"1,259.93","1,307.60","1,307.60","1,567.33",-24.92,3.78,3.78,19.86,0.02,0.02,0.02,0.02
  -  เอธิโอเปีย,"1,665.80","1,689.31","1,689.31","1,375.71",15.67,1.41,1.41,-18.56,0.02,0.02,0.02,0.02
  -  ลัตเวีย,"1,836.20","1,498.05","1,498.05","1,322.85",15.98,-18.42,-18.42,-11.70,0.02,0.02,0.02,0.02
  -  จอร์เจีย,"1,184.60","1,031.85","1,031.85","1,319.28",3.96,-12.89,-12.89,27.86,0.02,0.01,0.01,0.02
  -  อุรุกวัย,795.56,894.63,894.63,"1,281.81",-26.28,12.45,12.45,43.28,0.01,0.01,0.01,0.02
  -  เอสโตเนีย,"1,270.33","1,159.48","1,159.48","1,212.85",-16.07,-8.73,-8.73,4.60,0.02,0.02,0.02,0.01
  -  จิบูตี,"1,326.71",774.35,774.35,"1,162.27",-39.84,-41.63,-41.63,50.10,0.02,0.01,0.01,0.01
  -  เฟรนช์โปลีนีเซีย,"1,227.46",827.29,827.29,"1,139.13",9.12,-32.60,-32.60,37.70,0.02,0.01,0.01,0.01
  -  มาเก๊า,828.76,"1,121.24","1,121.24","1,069.48",7.22,35.29,35.29,-4.62,0.01,0.02,0.02,0.01
  -  ซีเรีย,"2,612.98","1,178.43","1,178.43","1,026.94",26.91,-54.90,-54.90,-12.85,0.03,0.02,0.02,0.01
  -  ลิทัวเนีย,"1,361.66",965.57,965.57,"1,015.17",17.85,-29.09,-29.09,5.14,0.02,0.01,0.01,0.01
  -  ปารากวัย,881.42,626.60,626.60,"1,003.48",-30.29,-28.91,-28.91,60.15,0.01,0.01,0.01,0.01
  -  คองโก,"1,378.28",846.45,846.45,959.86,-26.21,-38.59,-38.59,13.40,0.02,0.01,0.01,0.01
  -  ซูดาน,"4,647.37","1,823.08","1,823.08",945.90,10.32,-60.77,-60.77,-48.12,0.06,0.03,0.03,0.01
  -  โบลิเวีย,943.20,522.78,522.78,856.50,-27.97,-44.57,-44.57,63.84,0.01,0.01,0.01,0.01
  -  ไซปรัส,974.47,611.70,611.70,842.52,12.70,-37.23,-37.23,37.73,0.01,0.01,0.01,0.01
  -  นิการากัว,380.41,458.58,458.58,818.90,-41.20,20.55,20.55,78.57,0.00,0.01,0.01,0.01
  -  ยูกันดา,710.14,581.21,581.21,812.26,16.22,-18.16,-18.16,39.75,0.01,0.01,0.01,0.01
  -  อุซเบกิสถาน,"1,400.02","2,656.23","2,656.23",782.99,170.31,89.73,89.73,-70.52,0.02,0.04,0.04,0.01
  -  มาดากัสการ์,985.21,710.21,710.21,706.77,-20.95,-27.91,-27.91,-0.48,0.01,0.01,0.01,0.01
  -  มอลตา,"1,361.11",682.27,682.27,679.93,51.12,-49.87,-49.87,-0.34,0.02,0.01,0.01,0.01
  -  มาลี,460.80,575.88,575.88,671.18,48.47,24.98,24.98,16.55,0.01,0.01,0.01,0.01
  -  ซูรินาเม,639.14,400.94,400.94,668.79,0.64,-37.27,-37.27,66.80,0.01,0.01,0.01,0.01
  -  โครเอเชีย,876.12,564.94,564.94,647.76,1.89,-35.52,-35.52,14.66,0.01,0.01,0.01,0.01
  -  เซอร์เบีย,516.76,534.73,534.73,624.94,-30.45,3.48,3.48,16.87,0.01,0.01,0.01,0.01
  -  กินี,750.45,718.71,718.71,590.95,65.34,-4.23,-4.23,-17.78,0.01,0.01,0.01,0.01
  -  บาร์เบโดส,506.89,446.43,446.43,574.48,-20.81,-11.93,-11.93,28.68,0.01,0.01,0.01,0.01
  -  กาบอง,850.74,"1,384.39","1,384.39",491.57,-26.92,62.73,62.73,-64.49,0.01,0.02,0.02,0.01
  -  มองโกเลีย,496.08,325.87,325.87,491.13,19.42,-34.31,-34.31,50.72,0.01,0.00,0.00,0.01
  -  เรอูนียง,620.80,512.27,512.27,477.22,3.35,-17.48,-17.48,-6.84,0.01,0.01,0.01,0.01
  -  โซโลมอน,326.75,295.62,295.62,462.24,-14.99,-9.53,-9.53,56.36,0.00,0.00,0.00,0.01
  -  กายอานา,272.96,281.71,281.71,452.37,12.35,3.21,3.21,60.58,0.00,0.00,0.00,0.01
  -  บูร์กินา ฟาโซ,178.65,372.58,372.58,426.08,-79.25,108.55,108.55,14.36,0.00,0.01,0.01,0.00
  -  โซมาเลีย,582.75,423.59,423.59,421.91,-13.48,-27.31,-27.31,-0.40,0.01,0.01,0.01,0.00
  -  มาลาวี,211.79,156.39,156.39,418.24,26.22,-26.16,-26.16,167.43,0.00,0.00,0.00,0.00
  -  เซียร์ราลีโอน,321.86,363.92,363.92,399.24,-20.78,13.07,13.07,9.71,0.00,0.01,0.01,0.00
  -  มอริเตเนีย,"1,197.14",615.24,615.24,393.49,119.84,-48.61,-48.61,-36.04,0.02,0.01,0.01,0.00
  -  เวเนซุเอลา,321.99,241.14,241.14,388.34,15.79,-25.11,-25.11,61.04,0.00,0.00,0.00,0.00
  -  วานูอาตู,390.42,254.50,254.50,382.30,-23.76,-34.81,-34.81,50.22,0.01,0.00,0.00,0.00
  -  อาเซอร์ไบจาน,324.38,303.16,303.16,382.01,0.21,-6.54,-6.54,26.01,0.00,0.00,0.00,0.00
